molecule_ID,cleaned_smiles
83,C/C(=C\CC[C@]1(C)[C@@H](C(=O)O)C[C@H]1[C@](C)(O)C(=O)O)C(=O)O
84,C/C(=C\c1c[nH]c2ccc(C#N)cc12)C(=O)Nc1ccc(C(C)(C)C)cc1
85,C/C(=C\c1cc(-c2ccc(OCc3cc(C(=O)N(C)C)ccc3-c3ccc(Cl)cc3)cc2)n(C2CCCCC2)n1)C(=O)O
86,C/C(=C\c1cc(-c2ccc(OCc3cc(C(=O)N4CCC(O)CC4)ccc3-c3ccc(C#N)cc3)cc2)n(C2CCCCC2)n1)C(=O)O
87,C/C(=C\c1sc(-c2nccs2)nc1C(=O)NCc1ccc(F)cc1)CF
88,C/C(=C\c1sc(-c2nccs2)nc1C(=O)NCc1ccc(F)cc1)CO
89,C/C(=N\NC(=O)C1CC1c1ccccc1)c1ccc(N)cc1
90,C/C(=N\NC(=O)CSc1nc2ccccc2n1C)c1ccco1
91,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(NC(=O)c2ccco2)cc1
92,C/C(=N\NC(=O)c1ccc(F)cc1)c1ccccn1
93,C/C(=N\NC(=O)c1ccc(O)cc1)c1ccc(C(C)(C)C)cc1
94,C/C(=N\NC(=S)NNC(=S)c1ccc(Cl)cc1Cl)C12CC3CC(CC(C3)C1)C2
95,C/C(=N\NC(N)=S)C12CC3CC(CC(C3)C1)C2
96,C/C(=N\Nc1ccccc1)c1sc(-c2cc(Cl)nc(Oc3ccc(Cl)cc3)c2)nc1C
97,C/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccc(O)cc1
98,C/C(=N\Nc1ncnc2sc3c(c12)CCCC3)c1cnccn1
99,C/C(=N\Nc1ncnc2sc3ccccc3c12)c1ccccc1O
100,C/C(=N\OCc1ccc(C)cc1)c1c(C)cc(=O)n(O)c1O
101,C/C(=N\OCc1ccc(F)cc1)c1c(C)cc(=O)n(O)c1O
102,C/C(=N\c1ccccc1N)c1c(C)cc(=O)n(O)c1O
103,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
104,C/C(O)=C1\C(=O)N(O)c2cc(NC(=O)c3ccc4ccccc4c3)ccc21
105,C/C1=C/C[C@]2(C)C(=O)C=C(C(C)C)[C@@H]2C/C=C(\C)[C@H](OO)CC1
106,C/C1=C\C[C@H]2CC3=C(O[C@]2(C)C/C=C/C(C)(C)C[C@H]1O)C(C)(C)C(=O)C(C(=O)C(C)C)=C3O
107,C/C=C(/C)C(=O)OC/C(=C/C)C(=O)OC/C=C/c1ccc(OC)c(OC)c1
108,C/C=C(/C)C(=O)OC/C=C/c1ccc(OC)cc1
109,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@@H](OC(=O)CCC)C[C@](C)(OC(C)=O)[C@H]2[C@@H]1OC(=O)CCCCCCC
110,C/C=C(/C)c1cc(C2CC2)cc2c1nc(C(=O)N1CCN([C@H]3CC[C@H](O)CC3)C(=O)C1)n2C
111,C/C=C(\C)C(=O)OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](OC(=O)/C(C)=C/C)[C@H](C)O[C@@H](O[C@H]4[C@H]5O[C@H](CO)[C@@H](O)[C@@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4OC(=O)CCCCCCCCC[C@H](CCCCC)O[C@@H]4O[C@H](C)[C@@H](O)[C@H](O)[C@H]4O5)[C@@H]3OC(=O)[C@@H](C)CC)[C@H](O)[C@H]2OC(=O)/C(C)=C/C)[C@H](O)[C@@H](O)[C@@H]1O
112,C/C=C(\C)C(=O)O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@@H](OC(=O)/C(C)=C/C)[C@H](C)O[C@@H](O[C@H]3[C@H]4O[C@H](CO)[C@@H](O)[C@@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3OC(=O)CCCCCCCCC[C@H](CCCCC)O[C@@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@H]3O4)[C@@H]2OC(=O)[C@@H](C)CC)O[C@H](CO)[C@H]1O
113,C/C=C(\C)C(=O)O[C@@H]1[C@@H]2OC[C@]3(C)[C@H](O)C[C@H](OC(C)=O)[C@](C)([C@H]4C[C@H](OC(C)=O)[C@]5(C)C(=CC[C@H]5C5COC(=O)C5)[C@]14C)[C@@H]23
114,C/C=C(\C)C(=O)O[C@H]1[C@H](C)O[C@@H](O[C@H]2[C@H]3O[C@H](CO)[C@@H](O)[C@@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2OC(=O)CCCCCCCCC[C@H](CCCCC)O[C@@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@H]2O3)[C@H](OC(=O)[C@@H](C)CC)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1OC(=O)/C(C)=C/C
